tier,variant,ticker,trades,wins,losses,scratches,win_rate,total_pnl,avg_trade_pnl,max_drawdown,profit_factor,avg_hold_days,sharpe_ish
0,v1_baseline,SPY,4,3,1,0,75.0,647.1,161.78,-406.25,2.59,11.3,0.98
0,v2_hold_day,SPY,12,5,7,0,41.7,-2021.14,-168.43,-2473.9,0.27,0.8,-1.78
0,v3_phaseB,SPY,4,1,3,0,25.0,-1565.15,-391.29,-1565.15,0.24,10.8,-1.33
0,v4_filtered,SPY,4,3,1,0,75.0,336.4,84.1,-596.7,1.56,8.0,0.41
0,v5_hedged,SPY,4,3,1,0,75.0,-364.2,-91.05,-1790.11,0.8,8.0,-0.18
0,v1_baseline,QQQ,4,3,1,0,75.0,739.75,184.94,-498.79,2.48,11.3,0.9
0,v2_hold_day,QQQ,12,1,11,0,8.3,-4030.74,-335.89,-4201.71,0.05,1.0,-4.28
0,v3_phaseB,QQQ,3,0,3,0,0.0,-1296.57,-432.19,-1296.57,0.0,16.7,-4.72
0,v4_filtered,QQQ,3,2,1,0,66.7,1630.51,543.5,-282.86,6.76,8.6,1.17
0,v5_hedged,QQQ,3,2,1,0,66.7,4323.28,1441.09,-848.59,6.09,8.6,1.01
0,v1_baseline,IWM,2,1,1,0,50.0,88.29,44.15,-137.31,1.64,26.5,0.34
0,v2_hold_day,IWM,12,8,4,0,66.7,368.96,30.75,-139.08,2.49,0.7,1.34
0,v3_phaseB,IWM,4,2,2,0,50.0,-374.01,-93.5,-529.76,0.44,11.3,-0.77
0,v4_filtered,IWM,4,3,1,0,75.0,70.75,17.69,-378.99,1.19,9.2,0.15
0,v5_hedged,IWM,4,3,1,0,75.0,-687.23,-171.81,-1136.98,0.4,9.2,-0.62
1,v1_baseline,AAPL,2,1,1,0,50.0,255.15,127.58,-195.26,2.31,26.5,0.56
1,v2_hold_day,AAPL,12,7,5,0,58.3,-158.86,-13.24,-720.3,0.78,0.7,-0.26
1,v3_phaseB,AAPL,3,0,3,0,0.0,-465.9,-155.3,-465.9,0.0,16.7,-7.15
1,v4_filtered,AAPL,3,1,2,0,33.3,-178.85,-59.62,-183.07,0.39,13.4,-0.81
1,v5_hedged,AAPL,3,1,2,0,33.3,-544.99,-181.66,-549.22,0.18,13.4,-1.14
1,v1_baseline,MSFT,4,4,0,0,100.0,1457.11,364.28,0.0,inf,10.9,13.83
1,v2_hold_day,MSFT,12,5,7,0,41.7,-2190.39,-182.53,-2388.07,0.16,0.7,-2.15
1,v3_phaseB,MSFT,4,1,3,0,25.0,-1437.38,-359.34,-1686.8,0.15,11.3,-1.47
1,v4_filtered,MSFT,4,1,3,0,25.0,-1432.67,-358.17,-1682.09,0.15,11.3,-1.47
1,v5_hedged,MSFT,4,1,3,0,25.0,-933.82,-233.45,-1682.09,0.44,11.3,-0.71
1,v1_baseline,NVDA,2,2,0,0,100.0,523.22,261.61,0.0,inf,27.4,51.73
1,v2_hold_day,NVDA,12,5,7,0,41.7,-1167.04,-97.25,-1284.81,0.27,0.7,-1.58
1,v3_phaseB,NVDA,3,0,3,0,0.0,-952.71,-317.57,-952.71,0.0,16.0,-5.51
1,v4_filtered,NVDA,2,0,2,0,0.0,-710.74,-355.37,-710.74,0.0,23.5,-20.83
1,v5_hedged,NVDA,2,0,2,0,0.0,-1469.72,-734.86,-1469.72,0.0,23.5,-2.57
1,v1_baseline,AMZN,3,2,1,0,66.7,122.87,40.96,-535.0,1.23,16.7,0.17
1,v2_hold_day,AMZN,12,6,6,0,50.0,-822.62,-68.55,-1015.56,0.37,1.1,-1.31
1,v3_phaseB,AMZN,6,5,1,0,83.3,868.51,144.75,-335.95,3.59,6.0,1.46
1,v4_filtered,AMZN,4,3,1,0,75.0,210.55,52.64,-454.49,1.46,9.5,0.33
1,v5_hedged,AMZN,4,3,1,0,75.0,1260.4,315.1,-454.49,3.77,9.5,1.03
1,v1_baseline,GOOGL,4,3,1,0,75.0,626.84,156.71,-386.21,2.62,11.0,1.0
1,v2_hold_day,GOOGL,12,5,7,0,41.7,-1405.76,-117.15,-1697.17,0.29,0.9,-1.59
1,v3_phaseB,GOOGL,4,3,1,0,75.0,448.03,112.01,-148.26,4.02,11.8,1.45
1,v4_filtered,GOOGL,3,3,0,0,100.0,605.59,201.86,0.0,inf,10.9,8.51
1,v5_hedged,GOOGL,3,3,0,0,100.0,912.58,304.19,0.0,inf,10.9,4.67
1,v1_baseline,META,3,2,1,0,66.7,756.06,252.02,-242.11,4.12,17.3,1.23
1,v2_hold_day,META,12,2,10,0,16.7,-2796.67,-233.06,-3313.65,0.2,0.8,-2.39
1,v3_phaseB,META,5,2,3,0,40.0,-1871.94,-374.39,-2196.28,0.34,7.4,-1.1
1,v4_filtered,META,3,1,2,0,33.3,-1275.79,-425.26,-1982.71,0.36,12.9,-0.8
1,v5_hedged,META,3,1,2,0,33.3,-2158.06,-719.35,-2864.97,0.25,12.9,-1.23
2,v1_baseline,TSLA,4,3,1,0,75.0,1199.69,299.92,-189.9,7.32,10.5,2.1
2,v2_hold_day,TSLA,12,2,10,0,16.7,-2899.98,-241.67,-3172.57,0.16,1.2,-2.65
2,v3_phaseB,TSLA,3,1,2,0,33.3,-517.34,-172.45,-667.61,0.23,16.7,-1.1
2,v4_filtered,TSLA,3,1,2,0,33.3,-116.35,-38.78,-527.02,0.78,15.2,-0.19
2,v5_hedged,TSLA,3,1,2,0,33.3,704.99,235.0,-527.02,2.34,15.2,0.56
2,v1_baseline,AMD,2,1,1,0,50.0,363.08,181.54,-258.78,2.4,26.5,0.58
2,v2_hold_day,AMD,12,3,9,0,25.0,-1803.98,-150.33,-1856.0,0.13,0.7,-2.12
2,v3_phaseB,AMD,4,1,3,0,25.0,-1289.14,-322.29,-1530.69,0.16,12.3,-1.8
2,v4_filtered,AMD,6,5,1,0,83.3,1929.93,321.66,-267.24,8.22,4.5,2.47
2,v5_hedged,AMD,6,5,1,0,83.3,5671.7,945.28,-267.24,22.22,4.5,2.87
2,v1_baseline,AVGO,3,2,1,0,66.7,558.69,186.23,-315.16,2.77,16.0,0.91
2,v2_hold_day,AVGO,12,5,7,0,41.7,-1399.58,-116.63,-1517.25,0.36,1.1,-1.23
2,v3_phaseB,AVGO,4,1,3,0,25.0,-1079.38,-269.84,-1344.1,0.2,11.8,-1.31
2,v4_filtered,AVGO,3,2,1,0,66.7,-820.96,-273.65,-1369.81,0.4,10.6,-0.61
2,v5_hedged,AVGO,3,2,1,0,66.7,-820.96,-273.65,-1369.81,0.4,10.6,-0.61
2,v1_baseline,COIN,3,2,1,0,66.7,643.29,214.43,-232.37,3.77,16.0,1.15
2,v2_hold_day,COIN,12,1,11,0,8.3,-3413.56,-284.46,-3413.56,0.05,1.0,-4.39
2,v3_phaseB,COIN,5,2,3,0,40.0,-847.42,-169.48,-1223.76,0.45,8.2,-0.76
2,v4_filtered,COIN,6,6,0,0,100.0,2221.53,370.25,0.0,inf,2.7,9.19
2,v5_hedged,COIN,6,6,0,0,100.0,3359.92,559.99,0.0,inf,2.7,2.66
3,v1_baseline,MSTR,4,4,0,0,100.0,1075.57,268.89,0.0,inf,11.3,4.08
3,v2_hold_day,MSTR,12,7,5,0,58.3,-1403.64,-116.97,-1497.78,0.37,0.9,-1.34
3,v3_phaseB,MSTR,5,4,1,0,80.0,515.86,103.17,-374.54,2.38,8.0,0.96
3,v4_filtered,MSTR,8,8,0,0,100.0,2709.23,338.65,0.0,inf,2.4,5.9
3,v5_hedged,MSTR,8,8,0,0,100.0,4940.18,617.52,0.0,inf,2.4,2.85
3,v1_baseline,DELL,1,0,1,0,0.0,-524.14,-524.14,-524.14,0.0,58.0,-524.14
3,v2_hold_day,DELL,12,4,8,0,33.3,-407.05,-33.92,-985.29,0.66,0.7,-0.49
3,v3_phaseB,DELL,4,0,4,0,0.0,-1819.58,-454.9,-1819.58,0.0,11.3,-6.09
3,v4_filtered,DELL,3,2,1,0,66.7,746.87,248.96,-428.89,2.74,0.9,0.9
3,v5_hedged,DELL,3,2,1,0,66.7,-110.92,-36.97,-1286.68,0.91,0.9,-0.07
3,v1_baseline,INTC,6,5,1,0,83.3,12.86,2.14,-727.55,1.02,6.5,0.02
3,v2_hold_day,INTC,12,6,6,0,50.0,-394.96,-32.91,-614.23,0.47,0.7,-1.01
3,v3_phaseB,INTC,5,4,1,0,80.0,19.73,3.95,-222.07,1.09,7.6,0.08
3,v4_filtered,INTC,5,5,0,0,100.0,444.12,88.82,0.0,inf,5.4,6.5
3,v5_hedged,INTC,5,5,0,0,100.0,752.26,150.45,0.0,inf,5.4,4.97
3,v1_baseline,PLTR,2,2,0,0,100.0,513.95,256.97,0.0,inf,26.5,1.57
3,v2_hold_day,PLTR,12,4,8,0,33.3,-1714.19,-142.85,-1767.02,0.22,0.7,-2.02
3,v3_phaseB,PLTR,3,1,2,0,33.3,-734.63,-244.88,-800.2,0.08,15.6,-1.83
3,v4_filtered,PLTR,3,3,0,0,100.0,455.9,151.97,0.0,inf,14.3,3.5
3,v5_hedged,PLTR,3,3,0,0,100.0,835.76,278.59,0.0,inf,14.3,3.09
3,v1_baseline,MU,3,2,1,0,66.7,1144.7,381.57,-70.29,17.29,16.7,2.07
3,v2_hold_day,MU,12,4,8,0,33.3,-1392.36,-116.03,-2192.05,0.48,1.2,-1.15
3,v3_phaseB,MU,4,3,1,0,75.0,270.04,67.51,-1100.71,1.25,11.8,0.19
3,v4_filtered,MU,4,3,1,0,75.0,-75.1,-18.77,-2038.4,0.96,8.8,-0.03
3,v5_hedged,MU,4,3,1,0,75.0,544.67,136.17,-2038.4,1.27,8.8,0.21
