combo_id,base,short_delta,long_delta,ivr_min,profit_target_pct,hard_exit_dte,target_dte,trades,wins,losses,win_rate,total_pnl,avg_trade,max_drawdown
252,v5_sweep,0.16,0.05,0,0.5,21,30,37,14,23,37.8,6662.13,180.06,-1251.55
120,v5_sweep,0.1,0.05,20,0.25,21,30,45,33,12,73.3,8043.85,178.75,-376.69
124,v5_sweep,0.1,0.05,20,0.5,14,30,32,22,10,68.8,5696.51,178.02,-720.22
121,v5_sweep,0.1,0.05,20,0.25,21,45,33,26,7,78.8,5846.37,177.16,-831.85
57,v5_sweep,0.1,0.03,20,0.5,30,45,30,20,10,66.7,5280.56,176.02,-912.32
347,v5_sweep,0.16,0.1,20,0.75,14,45,18,11,7,61.1,3152.46,175.14,-1409.89
546,v5_sweep,0.25,0.1,0,0.75,21,30,30,13,17,43.3,5203.83,173.46,-1035.81
202,v5_sweep,0.16,0.03,20,0.75,14,30,27,15,12,55.6,4601.44,170.42,-1745.2
4,v1_sweep,,,,0.5,,5,20,15,5,75.0,3401.77,170.09,-158.0
10,v1_sweep,,,,0.25,,5,27,23,4,85.2,4587.07,169.89,-463.86
150,v5_sweep,0.1,0.05,30,0.75,21,30,33,24,9,72.7,5571.21,168.82,-362.83
338,v5_sweep,0.16,0.1,20,0.25,30,30,68,40,28,58.8,10899.92,160.29,-781.57
344,v5_sweep,0.16,0.1,20,0.5,30,30,68,40,28,58.8,10899.92,160.29,-781.57
350,v5_sweep,0.16,0.1,20,0.75,30,30,68,40,28,58.8,10899.92,160.29,-781.57
118,v5_sweep,0.1,0.05,20,0.25,14,30,39,29,10,74.4,6172.09,158.26,-720.22
126,v5_sweep,0.1,0.05,20,0.5,21,30,39,26,13,66.7,6170.83,158.23,-375.9
9,v1_sweep,,,,0.75,,14,12,7,5,58.3,1892.98,157.75,-62.42
50,v5_sweep,0.1,0.03,20,0.25,30,30,68,40,28,58.8,10679.22,157.05,-1147.03
56,v5_sweep,0.1,0.03,20,0.5,30,30,68,40,28,58.8,10679.22,157.05,-1147.03
62,v5_sweep,0.1,0.03,20,0.75,30,30,68,40,28,58.8,10679.22,157.05,-1147.03
15,v1_sweep,,,,0.5,,14,13,8,5,61.5,2028.3,156.02,-284.66
474,v5_sweep,0.25,0.05,0,0.75,21,30,30,14,16,46.7,4654.67,155.16,-1678.31
5,v1_sweep,,,,0.5,,7,17,12,5,70.6,2628.43,154.61,-118.22
412,v5_sweep,0.25,0.03,20,0.5,14,30,23,13,10,56.5,3543.37,154.06,-3824.75
21,v1_sweep,,,,0.25,,14,19,15,4,78.9,2878.88,151.52,-1179.92
55,v5_sweep,0.1,0.03,20,0.5,21,45,29,21,8,72.4,4351.22,150.04,-1174.02
180,v5_sweep,0.16,0.03,0,0.5,21,30,38,15,23,39.5,5678.03,149.42,-1415.39
346,v5_sweep,0.16,0.1,20,0.75,14,30,23,14,9,60.9,3278.59,142.55,-762.16
324,v5_sweep,0.16,0.1,0,0.5,21,30,35,18,17,51.4,4746.59,135.62,-505.17
189,v5_sweep,0.16,0.03,0,0.75,30,45,29,10,19,34.5,3822.93,131.83,-2427.18
52,v5_sweep,0.1,0.03,20,0.5,14,30,34,24,10,70.6,4481.07,131.8,-1015.97
361,v5_sweep,0.16,0.1,30,0.5,21,45,27,21,6,77.8,3539.36,131.09,-1280.25
330,v5_sweep,0.16,0.1,0,0.75,21,30,32,16,16,50.0,4155.55,129.86,-517.2
12,v1_sweep,,,,0.25,,14,16,12,4,75.0,2075.82,129.74,-333.18
258,v5_sweep,0.16,0.05,0,0.75,21,30,33,14,19,42.4,4262.82,129.18,-1251.55
268,v5_sweep,0.16,0.05,20,0.5,14,30,27,15,12,55.6,3404.12,126.08,-1869.23
6,v1_sweep,,,,0.5,,14,12,7,5,58.3,1499.16,124.93,-62.42
59,v5_sweep,0.1,0.03,20,0.75,14,45,23,14,9,60.9,2802.36,121.84,-1234.35
122,v5_sweep,0.1,0.05,20,0.25,30,30,68,40,28,58.8,8181.44,120.32,-688.74
128,v5_sweep,0.1,0.05,20,0.5,30,30,68,40,28,58.8,8181.44,120.32,-688.74
134,v5_sweep,0.1,0.05,20,0.75,30,30,68,40,28,58.8,8181.44,120.32,-688.74
131,v5_sweep,0.1,0.05,20,0.75,14,45,20,13,7,65.0,2397.78,119.89,-831.39
60,v5_sweep,0.1,0.03,20,0.75,21,30,33,21,12,63.6,3942.69,119.48,-789.77
1,v1_sweep,,,,0.25,,5,24,19,5,79.2,2708.7,112.86,-118.43
390,v5_sweep,0.25,0.03,0,0.25,21,30,37,20,17,54.1,3970.74,107.32,-2316.22
24,v1_sweep,,,,0.5,,14,15,10,5,66.7,1586.09,105.74,-1178.79
490,v5_sweep,0.25,0.05,20,0.75,14,30,21,11,10,52.4,2129.08,101.38,-3383.38
132,v5_sweep,0.1,0.05,20,0.75,21,30,32,18,14,56.2,3235.95,101.12,-392.38
79,v5_sweep,0.1,0.03,30,0.75,21,45,25,18,7,72.0,2460.31,98.41,-1174.02
259,v5_sweep,0.16,0.05,0,0.75,21,45,24,9,15,37.5,2319.94,96.66,-1862.29
562,v5_sweep,0.25,0.1,20,0.75,14,30,19,11,8,57.9,1776.91,93.52,-1200.8
318,v5_sweep,0.16,0.1,0,0.25,21,30,38,22,16,57.9,3550.28,93.43,-389.6
537,v5_sweep,0.25,0.1,0,0.25,30,45,24,9,15,37.5,2188.28,91.18,-1337.2
26,v1_sweep,,,,0.75,,7,22,13,9,59.1,1974.41,89.75,-1970.6
2,v1_sweep,,,,0.25,,7,19,15,4,78.9,1694.36,89.18,-140.12
396,v5_sweep,0.25,0.03,0,0.5,21,30,33,14,19,42.4,2931.86,88.84,-2316.22
11,v1_sweep,,,,0.25,,7,17,13,4,76.5,1501.46,88.32,-472.66
63,v5_sweep,0.1,0.03,20,0.75,30,45,27,14,13,51.9,2307.47,85.46,-1043.21
556,v5_sweep,0.25,0.1,20,0.5,14,30,20,11,9,55.0,1705.75,85.29,-1200.8
3,v1_sweep,,,,0.25,,14,13,8,5,61.5,1002.86,77.14,-100.58
151,v5_sweep,0.1,0.05,30,0.75,21,45,22,15,7,68.2,1633.61,74.26,-951.61
533,v5_sweep,0.25,0.1,0,0.25,14,45,19,8,11,42.1,1408.26,74.12,-3718.89
394,v5_sweep,0.25,0.03,0,0.5,14,30,27,11,16,40.7,1929.25,71.45,-2180.13
130,v5_sweep,0.1,0.05,20,0.75,14,30,26,16,10,61.5,1830.91,70.42,-957.29
367,v5_sweep,0.16,0.1,30,0.75,21,45,18,12,6,66.7,1171.02,65.06,-1132.61
127,v5_sweep,0.1,0.05,20,0.5,21,45,23,15,8,65.2,1423.08,61.87,-831.85
101,v5_sweep,0.1,0.05,0,0.25,14,45,33,19,14,57.6,1794.69,54.38,-765.73
321,v5_sweep,0.16,0.1,0,0.25,30,45,32,15,17,46.9,1677.76,52.43,-1025.98
173,v5_sweep,0.16,0.03,0,0.25,14,45,28,15,13,53.6,1447.04,51.68,-2400.51
462,v5_sweep,0.25,0.05,0,0.25,21,30,34,14,20,41.2,1675.08,49.27,-1823.13
343,v5_sweep,0.16,0.1,20,0.5,21,45,22,13,9,59.1,988.37,44.93,-1280.25
175,v5_sweep,0.16,0.03,0,0.25,21,45,28,14,14,50.0,1256.03,44.86,-2400.51
25,v1_sweep,,,,0.75,,5,25,15,10,60.0,1058.02,42.32,-1258.78
261,v5_sweep,0.16,0.05,0,0.75,30,45,28,8,20,28.6,1073.51,38.34,-1860.68
33,v5_sweep,0.1,0.03,0,0.25,30,45,35,15,20,42.9,1334.56,38.13,-1076.29
106,v5_sweep,0.1,0.05,0,0.5,14,30,34,15,19,44.1,1271.31,37.39,-720.22
249,v5_sweep,0.16,0.05,0,0.25,30,45,30,9,21,30.0,1090.73,36.36,-1860.68
100,v5_sweep,0.1,0.05,0,0.25,14,30,40,22,18,55.0,1104.07,27.6,-720.22
174,v5_sweep,0.16,0.03,0,0.25,21,30,39,16,23,41.0,948.73,24.33,-1391.8
317,v5_sweep,0.16,0.1,0,0.25,14,45,27,17,10,63.0,615.1,22.78,-1132.61
493,v5_sweep,0.25,0.05,20,0.75,21,45,18,9,9,50.0,382.63,21.26,-4626.2
256,v5_sweep,0.16,0.05,0,0.75,14,30,28,11,17,39.3,568.3,20.3,-1139.4
28,v5_sweep,0.1,0.03,0,0.25,14,30,43,25,18,58.1,823.65,19.15,-1184.9
117,v5_sweep,0.1,0.05,0,0.75,30,45,32,10,22,31.2,565.99,17.69,-1164.4
114,v5_sweep,0.1,0.05,0,0.75,21,30,36,13,23,36.1,601.24,16.7,-997.78
105,v5_sweep,0.1,0.05,0,0.25,30,45,36,13,23,36.1,593.07,16.47,-1164.4
203,v5_sweep,0.16,0.03,20,0.75,14,45,20,13,7,65.0,327.83,16.39,-3642.31
22,v1_sweep,,,,0.5,,5,31,21,10,67.7,444.39,14.34,-1306.17
107,v5_sweep,0.1,0.05,0,0.5,14,45,28,11,17,39.3,398.67,14.24,-918.11
319,v5_sweep,0.16,0.1,0,0.25,21,45,26,14,12,53.8,222.45,8.56,-1132.61
19,v1_sweep,,,,0.25,,5,37,29,8,78.4,290.54,7.85,-2213.33
534,v5_sweep,0.25,0.1,0,0.25,21,30,35,13,22,37.1,198.09,5.66,-1061.98
103,v5_sweep,0.1,0.05,0,0.25,21,45,30,16,14,53.3,164.09,5.47,-831.85
108,v5_sweep,0.1,0.05,0,0.5,21,30,39,16,23,41.0,175.83,4.51,-997.78
61,v5_sweep,0.1,0.03,20,0.75,21,45,22,12,10,54.5,31.4,1.43,-1174.02
113,v5_sweep,0.1,0.05,0,0.75,14,45,26,9,17,34.6,29.88,1.15,-918.11
111,v5_sweep,0.1,0.05,0,0.5,30,45,33,10,23,30.3,-27.35,-0.83,-1164.4
467,v5_sweep,0.25,0.05,0,0.5,14,45,19,8,11,42.1,-147.21,-7.75,-5670.14
466,v5_sweep,0.25,0.05,0,0.5,14,30,26,9,17,34.6,-329.34,-12.67,-2832.9
133,v5_sweep,0.1,0.05,20,0.75,21,45,19,10,9,52.6,-321.03,-16.9,-831.85
349,v5_sweep,0.16,0.1,20,0.75,21,45,18,11,7,61.1,-335.38,-18.63,-1132.61
327,v5_sweep,0.16,0.1,0,0.5,30,45,27,9,18,33.3,-781.39,-28.94,-1210.8
36,v5_sweep,0.1,0.03,0,0.5,21,30,41,14,27,34.1,-1412.43,-34.45,-1372.55
102,v5_sweep,0.1,0.05,0,0.25,21,30,44,18,26,40.9,-1610.98,-36.61,-723.76
274,v5_sweep,0.16,0.05,20,0.75,14,30,24,11,13,45.8,-886.93,-36.96,-1869.23
35,v5_sweep,0.1,0.03,0,0.5,14,45,30,14,16,46.7,-1199.82,-39.99,-1307.79
257,v5_sweep,0.16,0.05,0,0.75,14,45,21,8,13,38.1,-932.41,-44.4,-3120.77
42,v5_sweep,0.1,0.03,0,0.75,21,30,38,12,26,31.6,-1711.21,-45.03,-1372.55
199,v5_sweep,0.16,0.03,20,0.5,21,45,22,14,8,63.6,-1028.8,-46.76,-2400.51
245,v5_sweep,0.16,0.05,0,0.25,14,45,29,17,12,58.6,-1363.31,-47.01,-1790.11
246,v5_sweep,0.16,0.05,0,0.25,21,30,37,15,22,40.5,-2028.88,-54.83,-1030.52
511,v5_sweep,0.25,0.05,30,0.75,21,45,16,8,8,50.0,-883.62,-55.23,-5025.94
325,v5_sweep,0.16,0.1,0,0.5,21,45,21,7,14,33.3,-1170.56,-55.74,-1280.25
323,v5_sweep,0.16,0.1,0,0.5,14,45,21,10,11,47.6,-1294.9,-61.66,-1682.37
41,v5_sweep,0.1,0.03,0,0.75,14,45,25,9,16,36.0,-1613.6,-64.54,-1307.79
477,v5_sweep,0.25,0.05,0,0.75,30,45,23,6,17,26.1,-1585.33,-68.93,-2296.82
29,v5_sweep,0.1,0.03,0,0.25,14,45,35,19,16,54.3,-2446.84,-69.91,-1288.22
115,v5_sweep,0.1,0.05,0,0.75,21,45,22,7,15,31.8,-1589.2,-72.24,-849.33
543,v5_sweep,0.25,0.1,0,0.5,30,45,21,7,14,33.3,-1580.78,-75.28,-1337.2
320,v5_sweep,0.16,0.1,0,0.25,30,30,83,9,74,10.8,-6302.36,-75.93,-1578.67
326,v5_sweep,0.16,0.1,0,0.5,30,30,83,9,74,10.8,-6302.36,-75.93,-1578.67
332,v5_sweep,0.16,0.1,0,0.75,30,30,83,9,74,10.8,-6302.36,-75.93,-1578.67
328,v5_sweep,0.16,0.1,0,0.75,14,30,26,9,17,34.6,-2011.52,-77.37,-779.84
247,v5_sweep,0.16,0.05,0,0.25,21,45,28,14,14,50.0,-2210.33,-78.94,-1790.11
184,v5_sweep,0.16,0.03,0,0.75,14,30,30,13,17,43.3,-2404.57,-80.15,-1924.71
197,v5_sweep,0.16,0.03,20,0.5,14,45,22,15,7,68.2,-1826.5,-83.02,-2631.25
31,v5_sweep,0.1,0.03,0,0.25,21,45,34,17,17,50.0,-2827.95,-83.17,-1288.22
112,v5_sweep,0.1,0.05,0,0.75,14,30,27,9,18,33.3,-2269.85,-84.07,-945.68
333,v5_sweep,0.16,0.1,0,0.75,30,45,24,6,18,25.0,-2090.87,-87.12,-1210.8
104,v5_sweep,0.1,0.05,0,0.25,30,30,84,9,75,10.7,-7451.62,-88.71,-1715.57
110,v5_sweep,0.1,0.05,0,0.5,30,30,84,9,75,10.7,-7451.62,-88.71,-1715.57
116,v5_sweep,0.1,0.05,0,0.75,30,30,84,9,75,10.7,-7451.62,-88.71,-1715.57
487,v5_sweep,0.25,0.05,20,0.5,21,45,20,10,10,50.0,-1827.2,-91.36,-4626.2
40,v5_sweep,0.1,0.03,0,0.75,14,30,29,12,17,41.4,-2689.27,-92.73,-1522.71
45,v5_sweep,0.1,0.03,0,0.75,30,45,28,7,21,25.0,-2620.83,-93.6,-1374.31
30,v5_sweep,0.1,0.03,0,0.25,21,30,43,14,29,32.6,-4154.13,-96.61,-1372.55
205,v5_sweep,0.16,0.03,20,0.75,21,45,20,11,9,55.0,-1965.86,-98.29,-2400.51
421,v5_sweep,0.25,0.03,20,0.75,21,45,18,8,10,44.4,-1809.01,-100.5,-6074.18
539,v5_sweep,0.25,0.1,0,0.5,14,45,17,6,11,35.3,-1712.98,-100.76,-3718.89
39,v5_sweep,0.1,0.03,0,0.5,30,45,28,8,20,28.6,-2893.83,-103.35,-1227.73
23,v1_sweep,,,,0.5,,7,25,15,10,60.0,-2591.75,-103.67,-2161.42
109,v5_sweep,0.1,0.05,0,0.5,21,45,24,8,16,33.3,-2569.66,-107.07,-885.24
34,v5_sweep,0.1,0.03,0,0.5,14,30,36,17,19,47.2,-3864.0,-107.33,-1202.67
37,v5_sweep,0.1,0.03,0,0.5,21,45,27,10,17,37.0,-3257.93,-120.66,-1288.22
549,v5_sweep,0.25,0.1,0,0.75,30,45,20,5,15,25.0,-2659.57,-132.98,-1337.2
405,v5_sweep,0.25,0.03,0,0.75,30,45,23,5,18,21.7,-3141.28,-136.58,-3008.68
43,v5_sweep,0.1,0.03,0,0.75,21,45,22,7,15,31.8,-3058.55,-139.02,-1174.02
32,v5_sweep,0.1,0.03,0,0.25,30,30,84,9,75,10.7,-12144.57,-144.58,-2677.56
38,v5_sweep,0.1,0.03,0,0.5,30,30,84,9,75,10.7,-12144.57,-144.58,-2677.56
44,v5_sweep,0.1,0.03,0,0.75,30,30,84,9,75,10.7,-12144.57,-144.58,-2677.56
536,v5_sweep,0.25,0.1,0,0.25,30,30,84,9,75,10.7,-12368.18,-147.24,-2865.3
542,v5_sweep,0.25,0.1,0,0.5,30,30,84,9,75,10.7,-12368.18,-147.24,-2865.3
548,v5_sweep,0.25,0.1,0,0.75,30,30,84,9,75,10.7,-12368.18,-147.24,-2865.3
331,v5_sweep,0.16,0.1,0,0.75,21,45,19,6,13,31.6,-2837.93,-149.36,-1132.61
20,v1_sweep,,,,0.25,,7,33,22,11,66.7,-5002.97,-151.61,-3366.97
439,v5_sweep,0.25,0.03,30,0.75,21,45,16,8,8,50.0,-2608.6,-163.04,-6309.12
248,v5_sweep,0.16,0.05,0,0.25,30,30,84,9,75,10.7,-13896.83,-165.44,-3164.69
254,v5_sweep,0.16,0.05,0,0.5,30,30,84,9,75,10.7,-13896.83,-165.44,-3164.69
260,v5_sweep,0.16,0.05,0,0.75,30,30,84,9,75,10.7,-13896.83,-165.44,-3164.69
181,v5_sweep,0.16,0.03,0,0.5,21,45,23,9,14,39.1,-4045.76,-175.9,-2400.51
577,v5_sweep,0.25,0.1,30,0.5,21,45,19,11,8,57.9,-3481.36,-183.23,-4072.04
538,v5_sweep,0.25,0.1,0,0.5,14,30,22,6,16,27.3,-4292.85,-195.13,-1512.67
415,v5_sweep,0.25,0.03,20,0.5,21,45,20,9,11,45.0,-3911.34,-195.57,-6074.18
471,v5_sweep,0.25,0.05,0,0.5,30,45,23,6,17,26.1,-4567.86,-198.6,-2296.82
253,v5_sweep,0.16,0.05,0,0.5,21,45,22,7,15,31.8,-4555.38,-207.06,-1862.29
251,v5_sweep,0.16,0.05,0,0.5,14,45,24,10,14,41.7,-5057.02,-210.71,-2562.27
399,v5_sweep,0.25,0.03,0,0.5,30,45,24,6,18,25.0,-5196.12,-216.51,-3008.68
176,v5_sweep,0.16,0.03,0,0.25,30,30,84,9,75,10.7,-18445.7,-219.59,-4177.43
182,v5_sweep,0.16,0.03,0,0.5,30,30,84,9,75,10.7,-18445.7,-219.59,-4177.43
188,v5_sweep,0.16,0.03,0,0.75,30,30,84,9,75,10.7,-18445.7,-219.59,-4177.43
553,v5_sweep,0.25,0.1,20,0.25,21,45,22,11,11,50.0,-4889.72,-222.26,-3731.46
472,v5_sweep,0.25,0.05,0,0.75,14,30,24,6,18,25.0,-5367.3,-223.64,-2832.9
481,v5_sweep,0.25,0.05,20,0.25,21,45,24,13,11,54.2,-5561.77,-231.74,-4626.2
464,v5_sweep,0.25,0.05,0,0.25,30,30,84,9,75,10.7,-19963.88,-237.67,-4451.32
470,v5_sweep,0.25,0.05,0,0.5,30,30,84,9,75,10.7,-19963.88,-237.67,-4451.32
476,v5_sweep,0.25,0.05,0,0.75,30,30,84,9,75,10.7,-19963.88,-237.67,-4451.32
469,v5_sweep,0.25,0.05,0,0.5,21,45,20,5,15,25.0,-4806.56,-240.33,-4626.2
329,v5_sweep,0.16,0.1,0,0.75,14,45,16,5,11,31.2,-4026.6,-251.66,-1682.37
465,v5_sweep,0.25,0.05,0,0.25,30,45,24,7,17,29.2,-6172.03,-257.17,-2296.82
179,v5_sweep,0.16,0.03,0,0.5,14,45,24,9,15,37.5,-6330.14,-263.76,-3353.18
544,v5_sweep,0.25,0.1,0,0.75,14,30,21,4,17,19.0,-5687.08,-270.81,-1512.67
187,v5_sweep,0.16,0.03,0,0.75,21,45,22,6,16,27.3,-6221.93,-282.81,-2400.51
392,v5_sweep,0.25,0.03,0,0.25,30,30,84,9,75,10.7,-24512.76,-291.82,-5464.06
398,v5_sweep,0.25,0.03,0,0.5,30,30,84,9,75,10.7,-24512.76,-291.82,-5464.06
404,v5_sweep,0.25,0.03,0,0.75,30,30,84,9,75,10.7,-24512.76,-291.82,-5464.06
461,v5_sweep,0.25,0.05,0,0.25,14,45,19,8,11,42.1,-5548.22,-292.01,-5670.14
559,v5_sweep,0.25,0.1,20,0.5,21,45,18,7,11,38.9,-5574.56,-309.7,-3731.46
393,v5_sweep,0.25,0.03,0,0.25,30,45,24,6,18,25.0,-7773.99,-323.92,-3008.68
409,v5_sweep,0.25,0.03,20,0.25,21,45,24,12,12,50.0,-8130.53,-338.77,-6074.18
565,v5_sweep,0.25,0.1,20,0.75,21,45,16,6,10,37.5,-5434.67,-339.67,-3731.46
185,v5_sweep,0.16,0.03,0,0.75,14,45,20,6,14,30.0,-7943.24,-397.16,-3642.31
583,v5_sweep,0.25,0.1,30,0.75,21,45,14,5,9,35.7,-5712.59,-408.04,-4072.04
400,v5_sweep,0.25,0.03,0,0.75,14,30,24,5,19,20.8,-10127.8,-421.99,-4749.05
395,v5_sweep,0.25,0.03,0,0.5,14,45,18,7,11,38.9,-7994.71,-444.15,-6490.26
475,v5_sweep,0.25,0.05,0,0.75,21,45,18,4,14,22.2,-8075.74,-448.65,-4626.2
535,v5_sweep,0.25,0.1,0,0.25,21,45,19,5,14,26.3,-8762.16,-461.17,-3920.06
541,v5_sweep,0.25,0.1,0,0.5,21,45,18,4,14,22.2,-8465.72,-470.32,-3920.06
547,v5_sweep,0.25,0.1,0,0.75,21,45,18,3,15,16.7,-8674.31,-481.91,-3920.06
403,v5_sweep,0.25,0.03,0,0.75,21,45,18,4,14,22.2,-8852.61,-491.81,-6519.51
397,v5_sweep,0.25,0.03,0,0.5,21,45,21,5,16,23.8,-10510.73,-500.51,-6519.51
389,v5_sweep,0.25,0.03,0,0.25,14,45,20,10,10,50.0,-12341.35,-617.07,-5612.13
463,v5_sweep,0.25,0.05,0,0.25,21,45,20,5,15,25.0,-14060.35,-703.02,-4626.2
545,v5_sweep,0.25,0.1,0,0.75,14,45,14,3,11,21.4,-10996.66,-785.48,-4743.76
391,v5_sweep,0.25,0.03,0,0.25,21,45,20,4,16,20.0,-16556.64,-827.83,-6519.51
473,v5_sweep,0.25,0.05,0,0.75,14,45,15,3,12,20.0,-14559.4,-970.63,-5670.14
401,v5_sweep,0.25,0.03,0,0.75,14,45,15,4,11,26.7,-15721.29,-1048.09,-6490.26
